δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἑζεκίαν	Ἑζεκίας	N-	----ASM-
Ἑζεκίας	Ἑζεκίας	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Μανασσῆ	Μανασσῆς	N-	----ASM-
Μανασσῆς	Μανασσῆς	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀμώς	Ἀμώς	N-	----ASM-
Ἀμώς	Ἀμώς	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰωσίαν	Ἰωσίας	N-	----ASM-
Ἰωσίας	Ἰωσίας	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰεχονίαν	Ἰεχονίας	N-	----ASM-
καί	καί	C-	--------
τούς	ὁ	RA	----APM-
ἀδελφούς	ἀδελφός	N-	----APM-
αὐτοῦ	αὐτός	RP	----GSM-
ἐπί	ἐπί	P-	--------
τῆς	ὁ	RA	----GSF-
μετοικεσίας	μετοικεσία	N-	----GSF-
Βαβυλῶνος	Βαβυλών	N-	----GSF-
μετά	μετά	P-	--------
δέ	δέ	C-	--------
τήν	ὁ	RA	----ASF-
μετοικεσίαν	μετοικεσία	N-	----ASF-
Βαβυλῶνος	Βαβυλών	N-	----GSF-
Ἰεχονίας	Ἰεχονίας	N-	----NSM-
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Σαλαθιήλ	Σαλαθιήλ	N-	----ASM-
Σαλαθιήλ	Σαλαθιήλ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ζοροβαβέλ	Ζοροβαβέλ	N-	----ASM-
Ζοροβαβέλ	Ζοροβαβέλ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀβιούδ	Ἀβιούδ	N-	----ASM-
Ἀβιούδ	Ἀβιούδ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἐλιακίμ	Ἐλιακίμ	N-	----ASM-
Ἐλιακίμ	Ἐλιακίμ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀζώρ	Ἀζώρ	N-	----ASM-
Ἀζώρ	Ἀζώρ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Σαδώκ	Σαδώκ	N-	----ASM-
Σαδώκ	Σαδώκ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀχίμ	Ἀχίμ	N-	----ASM-
Ἀχίμ	Ἀχίμ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἐλιούδ	Ἐλιούδ	N-	----ASM-
Ἐλιούδ	Ἐλιούδ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἐλεάζαρ	Ἐλεάζαρ	N-	----ASM-
Ἐλεάζαρ	Ἐλεάζαρ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ματθάν	Ματθάν	N-	----ASM-
Ματθάν	Ματθάν	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰακώβ	Ἰακώβ	N-	----ASM-
Ἰακώβ	Ἰακώβ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰωσήφ	Ἰωσήφ	N-	----ASM-
τόν	ὁ	RA	----ASM-
ἄνδρα	ἀνήρ	N-	----ASM-
Μαρίας	Μαρία	N-	----GSF-
ἐκ	ἐκ	P-	--------
ἧς	ὅς	RR	----GSF-
ἐγεννήθη	γεννάω	V-	3API-S--
Ἰησοῦς	Ἰησοῦς	N-	----NSM-
ὁ	ὁ	RA	----NSM-
λεγόμενος	λέγω	V-	-PPPNSM-
Χριστός	Χριστός	N-	----NSM-
πᾶσαι	πᾶς	A-	----NPF-
οὖν	οὖν	C-	--------
αἱ	ὁ	RA	----NPF-
γενεαί	γενεά	N-	----NPF-
ἀπό	ἀπό	P-	--------
Ἀβραάμ	Ἀβραάμ	N-	----GSM-
ἕως	ἕως	P-	--------
Δαυίδ	Δαυίδ	N-	----GSM-
γενεαί	γενεά	N-	----NPF-
δεκατέσσαρες	δεκατέσσαρες	A-	----NPF-
καί	καί	C-	--------
ἀπό	ἀπό	P-	--------
Δαυίδ	Δαυίδ	N-	----GSM-
ἕως	ἕως	P-	--------
τῆς	ὁ	RA	----GSF-
μετοικεσίας	μετοικεσία	N-	----GSF-
Βαβυλῶνος	Βαβυλών	N-	----GSF-
γενεαί	γενεά	N-	----NPF-
δεκατέσσαρες	δεκατέσσαρες	A-	----NPF-
καί	καί	C-	--------
ἀπό	ἀπό	P-	--------
τῆς	ὁ	RA	----GSF-
μετοικεσίας	μετοικεσία	N-	----GSF-
Βαβυλῶνος	Βαβυλών	N-	----GSF-
ἕως	ἕως	P-	--------
τοῦ	ὁ	RA	----GSM-
Χριστοῦ	Χριστός	N-	----GSM-
γενεαί	γενεά	N-	----NPF-
δεκατέσσαρες	δεκατέσσαρες	A-	----NPF-
τοῦ	ὁ	RA	----GSM-
δέ	δέ	C-	--------
Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Χριστοῦ	Χριστός	N-	----GSM-
ἡ	ὁ	RA	----NSF-
γένεσις	γένεσις	N-	----NSF-
οὕτω(ς)	οὕτω(ς)	D-	--------
ἦν	εἰμί	V-	3IAI-S--
μνηστευθείσης	μνηστεύομαι	V-	-APPGSF-
τῆς	ὁ	RA	----GSF-
μητρός	μήτηρ	N-	----GSF-
αὐτοῦ	αὐτός	RP	----GSM-
Μαρίας	Μαρία	N-	----GSF-
τῷ	ὁ	RA	----DSM-
Ἰωσήφ	Ἰωσήφ	N-	----DSM-
πρίν	πρίν	D-	--------
ἤ	ἤ	C-	--------
συνελθεῖν	συνέρχομαι	V-	-AAN----
αὐτούς	αὐτός	RP	----APM-
εὑρέθη	εὑρίσκω	V-	3API-S--
ἐν	ἐν	P-	--------
γαστρί	γαστήρ	N-	----DSF-
ἔχουσα	ἔχω	V-	-PAPNSF-
ἐκ	ἐκ	P-	--------
πνεύματος	πνεῦμα	N-	----GSN-
ἁγίου	ἅγιος	A-	----GSN-
Ἰωσήφ	Ἰωσήφ	N-	----NSM-
δέ	δέ	C-	--------
ὁ	ὁ	RA	----NSM-
ἀνήρ	ἀνήρ	N-	----NSM-
αὐτῆς	αὐτός	RP	----GSF-
δίκαιος	δίκαιος	A-	----NSM-
ὤν	εἰμί	V-	-PAPNSM-
καί	καί	C-	--------
μή	μή	D-	--------
θέλων	θέλω	V-	-PAPNSM-
αὐτήν	αὐτός	RP	----ASF-
δειγματίσαι	δειγματίζω	V-	-AAN----
ἐβουλήθη	βούλομαι	V-	3API-S--
λάθρᾳ	λάθρᾳ	D-	--------
ἀπολῦσαι	ἀπολύω	V-	-AAN----
αὐτήν	αὐτός	RP	----ASF-
ταῦτα	οὗτος	RD	----APN-
δέ	δέ	C-	--------
αὐτοῦ	αὐτός	RP	----GSM-
ἐνθυμηθέντος	ἐνθυμέομαι	V-	-APPGSM-
ἰδού	ἰδού	X-	--------
ἄγγελος	ἄγγελος	N-	----NSM-
κυρίου	κύριος	N-	----GSM-
κατά	κατά	P-	--------
ὄναρ	ὄναρ	N-	----ASN-
ἐφάνη	φαίνω	V-	3API-S--
αὐτῷ	αὐτός	RP	----DSM-
λέγων	λέγω	V-	-PAPNSM-
Ἰωσήφ	Ἰωσήφ	N-	----VSM-
υἱός	υἱός	N-	----NSM-
Δαυίδ	Δαυίδ	N-	----GSM-
μή	μή	D-	--------
φοβηθῇς	φοβέομαι	V-	2APS-S--
παραλαβεῖν	παραλαμβάνω	V-	-AAN----
Μαρίαν	Μαρία	N-	----ASF-
τήν	ὁ	RA	----ASF-
γυναῖκα	γυνή	N-	----ASF-
σου	σύ	RP	----GS--
τό	ὁ	RA	----NSN-
γάρ	γάρ	C-	--------
ἐν	ἐν	P-	--------
αὐτῇ	αὐτός	RP	----DSF-
γεννηθέν	γεννάω	V-	-APPNSN-
ἐκ	ἐκ	P-	--------
πνεύματος	πνεῦμα	N-	----GSN-
ἐστί(ν)	εἰμί	V-	3PAI-S--
ἁγίου	ἅγιος	A-	----GSN-
τέξεται	τίκτω	V-	3FMI-S--
δέ	δέ	C-	--------
υἱόν	υἱός	N-	----ASM-
καί	καί	C-	--------
καλέσεις	καλέω	V-	2FAI-S--
τό	ὁ	RA	----ASN-
ὄνομα	ὄνομα	N-	----ASN-
αὐτοῦ	αὐτός	RP	----GSM-
Ἰησοῦν	Ἰησοῦς	N-	----ASM-
αὐτός	αὐτός	RP	----NSM-
γάρ	γάρ	C-	--------
σώσει	σῴζω	V-	3FAI-S--
τόν	ὁ	RA	----ASM-
λαόν	λαός	N-	----ASM-
αὐτοῦ	αὐτός	RP	----GSM-
ἀπό	ἀπό	P-	--------
τῶν	ὁ	RA	----GPF-
ἁμαρτιῶν	ἁμαρτία	N-	----GPF-
αὐτῶν	αὐτός	RP	----GPM-
τοῦτο	οὗτος	RD	----NSN-
δέ	δέ	C-	--------
ὅλον	ὅλος	A-	----NSN-
γέγονε(ν)	γίνομαι	V-	3XAI-S--
ἵνα	ἵνα	C-	--------
πληρωθῇ	πληρόω	V-	3APS-S--
τό	ὁ	RA	----NSN-
ῥηθέν	λέγω	V-	-APPNSN-
ὑπό	ὑπό	P-	--------
κυρίου	κύριος	N-	----GSM-
διά	διά	P-	--------
τοῦ	ὁ	RA	----GSM-
προφήτου	προφήτης	N-	----GSM-
λέγοντος	λέγω	V-	-PAPGSM-
ἰδού	ἰδού	X-	--------
ἡ	ὁ	RA	----NSF-
παρθένος	παρθένος	N-	----NSF-
ἐν	ἐν	P-	--------
γαστρί	γαστήρ	N-	----DSF-
ἕξει	ἔχω	V-	3FAI-S--
καί	καί	C-	--------
τέξεται	τίκτω	V-	3FMI-S--
υἱόν	υἱός	N-	----ASM-
καί	καί	C-	--------
καλέσουσι(ν)	καλέω	V-	3FAI-P--
τό	ὁ	RA	----ASN-
ὄνομα	ὄνομα	N-	----ASN-
αὐτοῦ	αὐτός	RP	----GSM-
Ἐμμανουήλ	Ἐμμανουήλ	N-	----ASM-
ὅ	ὅς	RR	----NSN-
ἐστί(ν)	εἰμί	V-	3PAI-S--
μεθερμηνευόμενον	μεθερμηνεύω	V-	-PPPNSN-
μετά	μετά	P-	--------
ἡμῶν	ἐγώ	RP	----GP--
ὁ	ὁ	RA	----NSM-
θεός	θεός	N-	----NSM-
ἐγερθείς	ἐγείρω	V-	-APPNSM-
δέ	δέ	C-	--------
ὁ	ὁ	RA	----NSM-
Ἰωσήφ	Ἰωσήφ	N-	----NSM-
ἀπό	ἀπό	P-	--------
τοῦ	ὁ	RA	----GSM-
ὕπνου	ὕπνος	N-	----GSM-
ἐποίησε(ν)	ποιέω	V-	3AAI-S--
ὡς	ὡς	C-	--------
προσέταξε(ν)	προστάσσω	V-	3AAI-S--
αὐτῷ	αὐτός	RP	----DSM-
ὁ	ὁ	RA	----NSM-
ἄγγελος	ἄγγελος	N-	----NSM-
κυρίου	κύριος	N-	----GSM-
καί	καί	C-	--------
παρέλαβε(ν)	παραλαμβάνω	V-	3AAI-S--
